SiteID,SiteName,AnnualFrequency
254005080171601,G  -3609,GWL/4
253710080184701,G  -3611,GWL/12
253457080195501,G  -3612,GWL/4
253027080234701,G  -3700,GWL/4
253214080224601,G  -3701,GWL/4
253334080213601,G  -3702,GWL/4
254822080125501,G  -3704,GWL/4
255625080094901,G  -3705,GWL/4
264153082022301,L  - 721,GWL/6
263532081592202,L  -1136,GWL/6
262703081340202,L  -1138,GWL/6
262042081455001,L  -1691,GWL/6
263344081361701,L  -1963,GWL/6
263344081361702,L  -1964,GWL/6
263353081335801,L  -1965,GWL/6
263807081430301,L  -1968,GWL/6
263718081485001,L  -1973,GWL/6
263718081485002,L  -1974,GWL/6
264359081424701,L  -1975,GWL/6
264359081424702,L  -1976,GWL/6
264320081365701,L  -1977,GWL/6
263041081433101,L  -1983,GWL/6
262713081414701,L  -1985,GWL/6
263950081355401,L  -2187,GWL/6
262659081382501,L  -2192,GWL/6
264329081340401,L  -2200,GWL/6
264329081340402,L  -2202,GWL/6
264608081454101,L  -2216,GWL/6
264608081454102,L  -2217,GWL/6
263718081485003,L  -2292,GWL/6
262552081485702,L  -2295,GWL/6
263344081361704,L  -2311,GWL/6
262703081340203,L  -2313,GWL/6
264608081454103,L  -2328,GWL/6
264517081513201,L  -2341,GWL/6
263307081555901,L  -2435,GWL/6
264517082022102,L  -2526,GWL/6
263955082083101,L  -2527,GWL/6
263907081592701,L  -2528,GWL/6
264308081405402,L  -2530,GWL/6
264427081362601,L  -2531,GWL/6
263743082041201,L  -2645,GWL/6
264537081552202,L  -2646,GWL/6
264002082012801,L  -2700,GWL/6
263955082083102,L  -2820,GWL/6
263440082022002,L  -3207,GWL/6
263115081483501,L  -5641,GWL/6
263249081474401,L  -5648,GWL/6
264433081360601,L  -5708,GWL/6
263249081474402,L  -5720,GWL/6
262351081485401,L  -5730,GWL/6
261926081454702,L  -5745R,GWL/6
263138082112801,L  -5766,GWL/6
263115081483502,L  -5801,GWL/6
263044080035102,PB -1195,GWL/6
262755080040101,PB -1707,GWL/6
262755080041101,PB -1714R,GWL/6
263453080031501,PB -1717,GWL/6
263633080031401,PB -1723,GWL/6
265550080070701,PB -1732,GWL/6
265611080080201,PB -1733,GWL/6
262014081314501,C  -1273,GWL/12
262014081314502,C  -1274,GWL/12
255739081211201,C  -1275,GWL/12
255739081211202,C  -1276,GWL/12
261944081334601,C  -1277,GWL/12
261944081334602,C  -1278,GWL/12
261625081411801,C  -1279,GWL/12
261625081411901,C  -1280,GWL/12
262007081204501,C  -1281,GWL/12
262007081204601,C  -1282,GWL/12
261218081322801,C  -1283,GWL/12
261218081315301,C  -1284,GWL/12
261219081312201,C  -1285,GWL/12
261219081310301,C  -1286,GWL/12
261100081322601,C  -1287,GWL/12
261100081320001,C  -1288,GWL/12
261047081312301,C  -1289,GWL/12
261101081310201,C  -1290,GWL/12
265519080364901,PB  - 1815,GWL/2
265519080364902,PB  - 1815S,GWL/2
265428080364501,PB  - 1816,GWL/2
265428080364502,PB  - 1816S,GWL/2
265142080374201,PB  - 1817,GWL/2
265142080374202,PB  - 1817S,GWL/2
265138080375801,PB  - 1818,GWL/2
265138080375802,PB  - 1818S,GWL/2
264814080414301,PB  - 1819,GWL/2
264814080414302,PB  - 1819S,GWL/2
264332080421101,PB  - 1820,GWL/2
264154080480301,PB  - 1822,GWL/2
264154080480302,PB  - 1822S,GWL/2
264050080435501,PB  - 1842S,GWL/2
264050080435502,PB  - 1842I,GWL/2
264050080435503,PB  - 1842D,GWL/2
265701080363101,PB  - 1844-S,GWL/2
265701080363103,PB  - 1844-D,GWL/2
265208080373901,PB  - 1845-S,GWL/2
265208080373902,PB  - 1845-I,GWL/2
265208080373903,PB  - 1845-D,GWL/2
265200080373101,PB  - 1846S,GWL/2
265200080373102,PB  - 1846I,GWL/2
265200080373103,PB  - 1846D,GWL/2
264930080394701,PB  - 1847S,GWL/2
264930080394702,PB  - 1847I,GWL/2
264930080394703,PB  - 1847D,GWL/2
264926080394501,PB  - 1848S,GWL/2
264926080394502,PB  - 1848I,GWL/2
264926080394503,PB  - 1848D,GWL/2
264343080511601,PB  - 1843S,GWL/1
264343080511602,PB  - 1843I,GWL/1
264343080511603,PB  - 1843D,GWL/1
264532080545901,HE  - 1145,GWL/1
264532080545902,HE  - 1145S,GWL/1
264912081024601,GL  - 332,GWL/1
264912081024602,GL  - 332S,GWL/1
264843080591501,GL  - 333S,GWL/1
264843080591502,GL  - 333I,GWL/1
264843080591503,GL  - 333D,GWL/1
265006081042501,GL  - 334S,GWL/1
265006081042502,GL  - 334I,GWL/1
265006081042503,GL  - 334D,GWL/1
265839080365201,M  - 1369D,GWL/1
265839080365202,M  - 1369I,GWL/1
